;Infracciones;AOL;Suspensiones;Juicio Experto;N° Dest Sin AOL;Ton Dest SIN AOL;N° Patentes Utilizadas;Prom Días (Fecha Recurso a Fecha Declaración);N° Regiones destino;N° Transacciones;N° Destinatarios;N° Especies Visadas;N° Declaraciones Origen;Toneladas Abastecimiento;Abastecimiento DA;Abastecimiento DI;Abastecimiento COM;N° Declaraciones de Proveedor;Toneladas Destinos;N° Declaraciones Abastecimiento;Toneladas Stock;N° Declaraciones Destinos;Toneladas Visadas;N° Solicitudes AOL;Prom Tons AOL
Shinji Okazaki Leicester City & Japan;87;50;2;5;308;292,85;147;2;10;1479;126;5;1216;1.232,71;1073,141;0;154,649;1.225;2.459,42;680;0,40;799;1083,878;816;1,33
Karim Onisiwo Mainz & Austria*;71;20;1;5;6;1,75;125;1;10;767;96;6;468;325,55;271,776;8,25;53,776;451;321,97;333;3,58;434;329,722;542;0,61
ymen Abdennour | Valencia & Túnez *;49;6;1;;39;27,90;40;2;1;357;3;2;459;473,47;0;0;473,467;179;473,47;181;0,00;176;442,494;166;2,67
Omar Abdulrahman | Al Ain & UAE;48;55;0;5;17;6,92;104;1;9;1598;128;9;601;447,78;372,715;0;75,064;571;441,35;518;2,57;1.080;623;1.564;0,40
Vincent Aboubakar | Porto & Camerún;39;4;2;5;6;2,40;54;1;7;819;75;1;409;380,14;295,726;0;79,16;463;760,27;352;0,00;467;378,136;465;0,81
Sebastian Abreu | Sol de América & Uruguay*;35;61;1;5;589;336,34;83;1;11;2476;60;4;1629;1.830,12;1452,326;0;373,297;1.641;1.827,11;982;0,11;1.494;1535,59;1.093;1,40
Adrien Silva | Sporting CP & Portugal*;35;54;0;;412;67,23;186;5;6;1767;173;10;457;370,53;0;0;370,531;270;305,93;237;67,11;1.530;293,224;1.178;0,25
Aritz Aduriz | Athletic Club & España;30;8;0;;0;0,00;46;0;9;353;40;3;202;151,18;151,182;0;0;202;151,18;162;0,00;191;169,017;191;0,88
Sergio Agüero | Manchester City & Argentina;26;12;1;5;89;20,53;24;19;2;451;74;17;119;98,64;0;35,658;77,255;107;93,07;104;6,57;347;138,443;290;0,48
David Alaba | Bayern Munich & Austria;25;9;0;5;8;9,26;48;0;5;410;35;2;355;311,58;311,578;0;0;355;311,58;202;0,00;208;304,635;202;1,51
